# nofWins

  gen                   avg                                 stdDev                              median                              max                                 total

  0                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000
  1                   0.240000000000000                   0.949947366963034                   0.000000000000000                   4.000000000000000                  12.000000000000000
  2                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000
  3                   0.240000000000000                   1.241933975700801                   0.000000000000000                   8.000000000000000                  12.000000000000000
  4                   0.640000000000000                   2.170345594600088                   0.000000000000000                   8.000000000000000                  32.000000000000000
  5                   0.400000000000000                   1.200000000000000                   0.000000000000000                   4.000000000000000                  20.000000000000000
  6                   0.320000000000000                   1.085172797300044                   0.000000000000000                   4.000000000000000                  16.000000000000000
  7                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000
  8                   0.080000000000000                   0.559999999999999                   0.000000000000000                   4.000000000000000                   4.000000000000000
  9                   0.560000000000000                   1.790642342847952                   0.000000000000000                   8.000000000000000                  28.000000000000000
 10                   0.320000000000000                   1.348183963708218                   0.000000000000000                   8.000000000000000                  16.000000000000000
 11                   0.360000000000000                   1.245150593301871                   0.000000000000000                   5.000000000000000                  18.000000000000000
 12                   0.160000000000000                   1.119999999999999                   0.000000000000000                   8.000000000000000                   8.000000000000000
 13                   0.240000000000000                   1.241933975700801                   0.000000000000000                   8.000000000000000                  12.000000000000000
 14                   0.500000000000000                   1.459451951932642                   0.000000000000000                   6.000000000000000                  25.000000000000000
 15                   0.420000000000000                   1.234341929936758                   0.000000000000000                   5.000000000000000                  21.000000000000000
 16                   0.240000000000000                   0.949947366963034                   0.000000000000000                   4.000000000000000                  12.000000000000000
 17                   0.160000000000000                   1.119999999999999                   0.000000000000000                   8.000000000000000                   8.000000000000000
 18                   0.240000000000000                   0.949947366963034                   0.000000000000000                   4.000000000000000                  12.000000000000000
 19                   0.200000000000000                   0.894427190999916                   0.000000000000000                   5.000000000000000                  10.000000000000000
 20                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000                   0.000000000000000
 21                   0.320000000000000                   1.567673435381235                   0.000000000000000                   8.000000000000000                  16.000000000000000
 22                   0.480000000000000                   1.899894733926067                   0.000000000000000                   8.000000000000000                  24.000000000000000
 23                   0.160000000000000                   1.120000000000000                   0.000000000000000                   8.000000000000000                   8.000000000000000
 24                   0.400000000000000                   1.649242250247064                   0.000000000000000                   8.000000000000000                  20.000000000000000
 25                   0.800000000000000                   2.262741699796951                   0.000000000000000                   8.000000000000000                  40.000000000000000
 26                   1.200000000000000                   2.800000000000000                   0.000000000000000                   8.000000000000000                  60.000000000000000
 27                   1.360000000000000                   2.605839595984374                   0.000000000000000                   8.000000000000000                  68.000000000000000
 28                   1.360000000000000                   2.520000000000000                   0.000000000000000                   7.000000000000000                  68.000000000000000
 29                   0.800000000000000                   1.600000000000000                   0.000000000000000                   4.000000000000000                  40.000000000000000
 30                   1.800000000000000                   2.778488797889962                   0.000000000000000                   8.000000000000000                  90.000000000000000
 31                   0.400000000000000                   0.692820323027551                   0.000000000000000                   3.000000000000000                  20.000000000000000
 32                   0.640000000000000                   1.466424222385868                   0.000000000000000                   7.000000000000000                  32.000000000000000
 33                   1.320000000000000                   2.353210572813236                   0.000000000000000                   8.000000000000000                  66.000000000000000
 34                   1.440000000000000                   3.073499633967768                   0.000000000000000                   8.000000000000000                  72.000000000000000
 35                   1.280000000000000                   2.584879107424561                   0.000000000000000                   8.000000000000000                  64.000000000000000
 36                   0.680000000000000                   1.678570820668583                   0.000000000000000                   8.000000000000000                  34.000000000000000
 37                   0.680000000000000                   2.092271492899524                   0.000000000000000                   8.000000000000000                  34.000000000000000
 38                   0.580000000000000                   1.524335920983298                   0.000000000000000                   6.000000000000000                  29.000000000000000
 39                   0.820000000000000                   1.596120296218302                   0.000000000000000                   4.000000000000000                  41.000000000000000
 40                   0.440000000000000                   1.251559027772962                   0.000000000000000                   5.000000000000000                  22.000000000000000
 41                   0.560000000000000                   1.373462777071150                   0.000000000000000                   5.000000000000000                  28.000000000000000
 42                   0.640000000000000                   1.410815367083871                   0.000000000000000                   4.000000000000000                  32.000000000000000
 43                   0.320000000000000                   1.085172797300043                   0.000000000000000                   4.000000000000000                  16.000000000000000
 44                   1.760000000000000                   3.215960198758685                   0.000000000000000                   8.000000000000000                  88.000000000000000
 45                   2.080000000000000                   3.509073951913809                   0.000000000000000                   8.000000000000000                 104.000000000000000
 46                   3.680000000000000                   3.823297006511527                   4.000000000000000                   8.000000000000000                 184.000000000000000
 47                   3.200000000000000                   3.919183588453086                   0.000000000000000                   8.000000000000000                 160.000000000000000
 48                   3.280000000000000                   3.458554611394766                   4.000000000000000                   8.000000000000000                 164.000000000000000
 49                   0.320000000000000                   1.348183963708218                   0.000000000000000                   8.000000000000000                  16.000000000000000
